Hodnota,Pocet Vyskytu,Kumulativni cetnost,Relativni cetnost,CDF,PDF
0.1,6,6,4,4,0.141535994791381
0.2,28,34,22.6666666666667,18.6666666666667,0.169458686938321
0.3,7,41,27.3333333333333,4.66666666666667,0.199436193285769
0.4,7,48,32,4.66666666666667,0.23072110287612
0.5,1,49,32.6666666666667,0.666666666666667,0.262369813092641
0.6,1,50,33.3333333333333,0.666666666666667,0.293280789474461
1,7,57,38,4.66666666666667,0.385651174788774
1.1,3,60,40,2,0.395621995232626
1.2,5,65,43.3333333333333,3.33333333333333,0.398941671530601
1.3,13,78,52,8.66666666666667,0.395440895546268
1.4,8,86,57.3333333333333,5.33333333333333,0.385298184700346
1.5,12,98,65.3333333333333,8,0.36902479585077
1.6,4,102,68,2.66666666666667,0.347422017804603
1.7,2,104,69.3333333333333,1.33333333333333,0.32151580879991
1.8,12,116,77.3333333333333,8,0.292476198513257
1.9,5,121,80.6666666666667,3.33333333333333,0.261530251015002
2,6,127,84.6666666666667,4,0.229877537304384
2.1,6,133,88.6666666666667,4,0.198616052015297
2.2,3,136,90.6666666666667,2,0.168684569828966
2.3,8,144,96,5.33333333333333,0.140824939992353
2.4,3,147,98,2,0.11556517881601
2.5,3,150,100,2,0.0932218291730906
