Hodnota,Pocet Vyskytu,Kumulativni cetnost,Relativni cetnost,CDF,PDF
2,1,1,0.666666666666667,0.666666666666667,0.0207867590443406
2.2,3,4,2.66666666666667,2,0.0573508737397721
2.3,4,8,5.33333333333333,2.66666666666667,0.0879561586461599
2.4,3,11,7.33333333333333,2,0.127906375839466
2.5,8,19,12.6666666666667,5.33333333333333,0.176367215279752
2.6,5,24,16,3.33333333333333,0.230591474489936
2.7,9,33,22,6,0.285869853738544
2.8,14,47,31.3333333333333,9.33333333333333,0.336041718535712
2.9,10,57,38,6.66666666666667,0.374556863049748
3,26,83,55.3333333333333,17.3333333333333,0.395860387684335
3.1,12,95,63.3333333333333,8,0.396703522402678
3.2,13,108,72,8.66666666666667,0.376955246437638
3.3,6,114,76,4,0.339635636144663
3.4,12,126,84,8,0.290159261089077
3.5,6,132,88,4,0.235049507503258
3.6,3,135,90,2,0.18054355054022
3.7,3,138,92,2,0.131493515624686
3.8,6,144,96,4,0.0908084827107328
3.9,2,146,97.3333333333333,1.33333333333333,0.0594631930369697
4,1,147,98,0.666666666666667,0.0369206856319223
4.1,1,148,98.6666666666667,0.666666666666667,0.0217365699583943
4.2,1,149,99.3333333333333,0.666666666666667,0.012134223601347
4.4,1,150,100,0.666666666666667,0.00322368892789964
