Hodnota,Pocet Vyskytu,Kumulativni cetnost,Relativni cetnost,CDF,PDF
0,5730,5730,3820,3820,0.382492580118184
0.01,1496,7226,4817.33333333333,997.333333333333,0.384620053326185
0.02,1269,8495,5663.33333333333,846,0.386607944728531
0.03,934,9429,6286,622.666666666667,0.388453972373979
0.04,748,10177,6784.66666666667,498.666666666667,0.390156009993289
0.05,546,10723,7148.66666666667,364,0.39171209107983
0.06,412,11135,7423.33333333333,274.666666666667,0.393120412675454
0.07,384,11519,7679.33333333333,256,0.394379338851466
0.08,302,11821,7880.66666666667,201.333333333333,0.395487403875258
0.09,256,12077,8051.33333333333,170.666666666667,0.39644331505404
0.1,253,12330,8220,168.666666666667,0.397245955247942
0.11,213,12543,8362,142,0.397894385045643
0.12,222,12765,8510,148,0.398387844596612
0.13,184,12949,8632.66666666667,122.666666666667,0.398725755094931
0.14,153,13102,8734.66666666667,102,0.398907719910675
0.15,170,13272,8848,113.333333333333,0.398933525365732
0.16,168,13440,8960,112,0.398803141151943
0.17,151,13591,9060.66666666667,100.666666666667,0.398516720390424
0.18,108,13699,9132.66666666667,72,0.3980745993319
0.19,116,13815,9210,77.3333333333333,0.397477296698875
0.2,123,13938,9292,82,0.396725512671437
0.21,111,14049,9366,74,0.395820127519476
0.22,101,14150,9433.33333333333,67.3333333333333,0.394762199885058
0.23,78,14228,9485.33333333333,52,0.393552964719641
0.24,77,14305,9536.66666666667,51.3333333333333,0.392193830881758
0.25,81,14386,9590.66666666667,54,0.390686378401719
0.26,66,14452,9634.66666666667,44,0.389032355420754
0.27,65,14517,9678,43.3333333333333,0.387233674812902
0.28,59,14576,9717.33333333333,39.3333333333333,0.385292410498784
0.29,54,14630,9753.33333333333,36,0.383210793461203
0.3,60,14690,9793.33333333333,40,0.38099120747328
0.31,51,14741,9827.33333333333,34,0.378636184550582
0.32,55,14796,9864,36.6666666666667,0.376148400139372
0.33,56,14852,9901.33333333333,37.3333333333333,0.373530668053793
0.34,43,14895,9930,28.6666666666667,0.37078593517538
0.35,50,14945,9963.33333333333,33.3333333333333,0.367917275928862
0.36,40,14985,9990,26.6666666666667,0.36492788654876
0.37,50,15035,10023.3333333333,33.3333333333333,0.361821079151709
0.38,57,15092,10061.3333333333,38,0.358600275629888
0.39,36,15128,10085.3333333333,24,0.355269001381294
0.4,57,15185,10123.3333333333,38,0.351830878892901
0.41,33,15218,10145.3333333333,22,0.348289621193021
