Hodnota,Pocet Vyskytu,Kumulativni cetnost,Relativni cetnost,CDF,PDF
0.01,618,618,412,412,0.376641512456011
0.02,1071,1689,1126,714,0.377456137951075
0.03,811,2500,1666.66666666667,540.666666666667,0.378256882394967
0.04,645,3145,2096.66666666667,430,0.379043650042314
0.05,632,3777,2518,421.333333333333,0.379816346682409
0.06,577,4354,2902.66666666667,384.666666666667,0.380574879657995
0.07,510,4864,3242.66666666667,340,0.38131915788378
0.08,483,5347,3564.66666666667,322,0.382049091864655
0.09,434,5781,3854,289.333333333333,0.382764593713625
0.1,400,6181,4120.66666666667,266.666666666667,0.383465577169435
0.11,421,6602,4401.33333333333,280.666666666667,0.384151957613899
0.12,338,6940,4626.66666666667,225.333333333333,0.384823652088917
0.13,329,7269,4846,219.333333333333,0.385480579313186
0.14,336,7605,5070,224,0.386122659698581
0.15,277,7882,5254.66666666667,184.666666666667,0.386749815366229
0.16,255,8137,5424.66666666667,170,0.387361970162243
0.17,255,8392,5594.66666666667,170,0.387959049673135
0.18,210,8602,5734.66666666667,140,0.388540981240886
0.19,262,8864,5909.33333333333,174.666666666667,0.389107693977682
0.2,239,9103,6068.66666666667,159.333333333333,0.389659118780306
0.21,183,9286,6190.66666666667,122,0.390195188344172
0.22,178,9464,6309.33333333333,118.666666666667,0.390715837177024
0.23,182,9646,6430.66666666667,121.333333333333,0.391221001612264
0.24,182,9828,6552,121.333333333333,0.391710619821929
0.25,163,9991,6660.66666666667,108.666666666667,0.392184631829302
0.26,167,10158,6772,111.333333333333,0.392642979521152
0.27,179,10337,6891.33333333333,119.333333333333,0.393085606659614
0.28,157,10494,6996,104.666666666667,0.393512458893683
0.29,149,10643,7095.33333333333,99.3333333333333,0.393923483770341
0.3,135,10778,7185.33333333333,90,0.394318630745295
0.31,121,10899,7266,80.6666666666667,0.394697851193338
0.32,124,11023,7348.66666666667,82.6666666666667,0.395061098418321
0.33,136,11159,7439.33333333333,90.6666666666667,0.395408327662737
0.34,90,11249,7499.33333333333,60,0.395739496116908
0.35,86,11335,7556.66666666667,57.3333333333333,0.396054562927788
0.36,102,11437,7624.66666666667,68,0.396353489207357
0.37,80,11517,7678,53.3333333333333,0.396636238040621
0.38,107,11624,7749.33333333333,71.3333333333333,0.396902774493211
0.39,97,11721,7814,64.6666666666667,0.397153065618578
0.4,99,11820,7880,66,0.397387080464778
0.41,105,11925,7950,70,0.39760479008085
0.42,107,12032,8021.33333333333,71.3333333333333,0.397806167522791
0.43,74,12106,8070.66666666667,49.3333333333333,0.397991187859108
0.44,83,12189,8126,55.3333333333333,0.398159828175963
0.45,101,12290,8193.33333333333,67.3333333333333,0.398312067581906
0.46,84,12374,8249.33333333333,56,0.398447887212184
0.47,78,12452,8301.33333333333,52,0.398567270232642
0.48,65,12517,8344.66666666667,43.3333333333333,0.398670201843195
0.49,63,12580,8386.66666666667,42,0.39875666928089
0.5,71,12651,8434,47.3333333333333,0.398826661822542
0.51,71,12722,8481.33333333333,47.3333333333333,0.398880170786949
0.52,54,12776,8517.33333333333,36,0.398917189536691
0.53,66,12842,8561.33333333333,44,0.398937713479495
0.54,69,12911,8607.33333333333,46,0.398941740069193
0.55,60,12971,8647.33333333333,40,0.398929268806241
0.56,69,13040,8693.33333333333,46,0.398900301237826
0.57,55,13095,8730,36.6666666666667,0.398854840957547
0.58,66,13161,8774,44,0.398792893604668
0.59,55,13216,8810.66666666667,36.6666666666667,0.398714466862956
0.6,49,13265,8843.33333333333,32.6666666666667,0.398619570459091
0.61,51,13316,8877.33333333333,34,0.398508216160656
0.62,46,13362,8908,30.6666666666667,0.398380417773704
0.63,53,13415,8943.33333333333,35.3333333333333,0.398236191139906
0.64,51,13466,8977.33333333333,34,0.398075554133277
0.65,38,13504,9002.66666666667,25.3333333333333,0.397898526656487
0.66,44,13548,9032,29.3333333333333,0.397705130636749
0.67,44,13592,9061.33333333333,29.3333333333333,0.397495390021291
0.68,36,13628,9085.33333333333,24,0.397269330772417
0.69,30,13658,9105.33333333333,20,0.39702698086215
0.7,38,13696,9130.66666666667,25.3333333333333,0.396768370266464
0.71,46,13742,9161.33333333333,30.6666666666667,0.396493530959101
0.72,35,13777,9184.66666666667,23.3333333333333,0.396202496904988
0.73,29,13806,9204,19.3333333333333,0.395895304053237
0.74,30,13836,9224,20,0.395571990329747
0.75,33,13869,9246,22,0.3952325956294
0.76,44,13913,9275.33333333333,29.3333333333333,0.394877161807855
0.77,28,13941,9294,18.6666666666667,0.394505732672946
0.78,30,13971,9314,20,0.394118353975684
0.79,33,14004,9336,22,0.393715073400865
0.8,33,14037,9358,22,0.393295940557286
0.81,30,14067,9378,20,0.392861006967575
0.82,28,14095,9396.66666666667,18.6666666666667,0.392410326057638
0.83,23,14118,9412,15.3333333333333,0.391943953145717
0.84,28,14146,9430.66666666667,18.6666666666667,0.39146194543108
0.85,25,14171,9447.33333333333,16.6666666666667,0.390964361982323
0.86,18,14189,9459.33333333333,12,0.390451263725314
0.87,35,14224,9482.66666666667,23.3333333333333,0.389922713430752
0.88,20,14244,9496,13.3333333333333,0.389378775701378
0.89,30,14274,9516,20,0.388819516958811
0.9,30,14304,9536,20,0.388245005430032
0.91,21,14325,9550,14,0.387655311133515
0.92,29,14354,9569.33333333333,19.3333333333333,0.387050505865006
0.93,26,14380,9586.66666666667,17.3333333333333,0.386430663182956
0.94,24,14404,9602.66666666667,16,0.385795858393614
0.95,23,14427,9618,15.3333333333333,0.385146168535779
0.96,23,14450,9633.33333333333,15.3333333333333,0.384481672365224
0.97,21,14471,9647.33333333333,14,0.383802450338787
0.98,23,14494,9662.66666666667,15.3333333333333,0.383108584598139
0.99,23,14517,9678,15.3333333333333,0.382400158953233
1,27,14544,9696,18,0.381677258865436
1.01,14,14558,9705.33333333333,9.33333333333333,0.380939971430354
1.02,15,14573,9715.33333333333,10,0.380188385360345
1.03,12,14585,9723.33333333333,8,0.379422590966744
1.04,25,14610,9740,16.6666666666667,0.378642680141776
1.05,24,14634,9756,16,0.37784874634019
1.06,27,14661,9774,18,0.377040884560608
1.07,20,14681,9787.33333333333,13.3333333333333,0.376219191326585
1.08,24,14705,9803.33333333333,16,0.375383764667401
1.09,23,14728,9818.66666666667,15.3333333333333,0.374534704098584
1.1,23,14751,9834,15.3333333333333,0.373672110602166
1.11,16,14767,9844.66666666667,10.6666666666667,0.372796086606678
1.12,15,14782,9854.66666666667,10,0.3719067359669
1.13,15,14797,9864.66666666667,10,0.371004163943356
1.14,20,14817,9878,13.3333333333333,0.370088477181567
1.15,20,14837,9891.33333333333,13.3333333333333,0.369159783691079
