Hodnota,Pocet Vyskytu,Kumulativni cetnost,Relativni cetnost,CDF,PDF
0,6477,6477,4318,4318,0.386194363386993
0.01,3445,9922,6614.66666666667,2296.66666666667,0.390898851005673
0.02,1582,11504,7669.33333333333,1054.66666666667,0.394549727863744
0.03,939,12443,8295.33333333333,626,0.397116556261649
0.04,666,13109,8739.33333333333,444,0.398577822737011
0.05,488,13597,9064.66666666667,325.333333333333,0.398921238301187
0.06,401,13998,9332,267.333333333333,0.398143910525121
0.07,336,14334,9556,224,0.396252384103975
0.08,239,14573,9715.33333333333,159.333333333333,0.393262549104849
0.09,193,14766,9844,128.666666666667,0.389199418696707
0.1,167,14933,9955.33333333333,111.333333333333,0.384096780711219
0.11,137,15070,10046.6666666667,91.3333333333333,0.377996729823424
0.12,115,15185,10123.3333333333,76.6666666666667,0.370949089411518
0.13,111,15296,10197.3333333333,74,0.363010734200022
0.14,103,15399,10266,68.6666666666667,0.354244826561742
0.15,81,15480,10320,54,0.34471998081074
0.16,80,15560,10373.3333333333,53.3333333333333,0.334509370930176
0.17,71,15631,10420.6666666667,47.3333333333333,0.323689797924485
0.18,67,15698,10465.3333333333,44.6666666666667,0.312340733354626
0.19,52,15750,10500,34.6666666666667,0.300543355608519
0.2,52,15802,10534.6666666667,34.6666666666667,0.28837959508708
0.21,45,15847,10564.6666666667,30,0.275931203769862
0.22,67,15914,10609.3333333333,44.6666666666667,0.263278863592659
0.23,39,15953,10635.3333333333,26,0.250501346759479
0.24,28,15981,10654,18.6666666666667,0.23767473956616
0.25,36,16017,10678,24,0.224871739580707
0.26,28,16045,10696.6666666667,18.6666666666667,0.212161034156942
0.27,25,16070,10713.3333333333,16.6666666666667,0.199606766305768
0.28,27,16097,10731.3333333333,18,0.187268091964372
0.29,19,16116,10744,12.6666666666667,0.175198830738295
0.3,25,16141,10760.6666666667,16.6666666666667,0.163447210291648
0.31,20,16161,10774,13.3333333333333,0.152055702769493
0.32,20,16181,10787.3333333333,13.3333333333333,0.141060949990745
0.33,19,16200,10800,12.6666666666667,0.130493772680862
0.34,12,16212,10808,8,0.120379257745268
0.35,13,16225,10816.6666666667,8.66666666666667,0.110736916534021
0.36,10,16235,10823.3333333333,6.66666666666667,0.101580906225817
0.37,16,16251,10834,10.6666666666667,0.0929203058681715
0.38,11,16262,10841.3333333333,7.33333333333333,0.0847594382472739
