Hodnota,Pocet Vyskytu,Kumulativni cetnost,Kumulativni relativni cetnost,Relativni cetnost
1,1,1,0.666666666666667,0.666666666666667
1.1,1,2,1.33333333333333,0.666666666666667
1.2,2,4,2.66666666666667,1.33333333333333
1.3,7,11,7.33333333333333,4.66666666666667
1.4,12,23,15.3333333333333,8
1.5,14,37,24.6666666666667,9.33333333333333
1.6,7,44,29.3333333333333,4.66666666666667
1.7,4,48,32,2.66666666666667
1.9,2,50,33.3333333333333,1.33333333333333
3,1,51,34,0.666666666666667
3.3,2,53,35.3333333333333,1.33333333333333
3.5,2,55,36.6666666666667,1.33333333333333
3.6,1,56,37.3333333333333,0.666666666666667
3.7,1,57,38,0.666666666666667
3.8,1,58,38.6666666666667,0.666666666666667
3.9,3,61,40.6666666666667,2
4,5,66,44,3.33333333333333
4.1,3,69,46,2
4.2,4,73,48.6666666666667,2.66666666666667
4.3,2,75,50,1.33333333333333
4.4,4,79,52.6666666666667,2.66666666666667
4.5,8,87,58,5.33333333333333
4.6,3,90,60,2
4.7,5,95,63.3333333333333,3.33333333333333
4.8,4,99,66,2.66666666666667
4.9,5,104,69.3333333333333,3.33333333333333
5,4,108,72,2.66666666666667
5.1,8,116,77.3333333333333,5.33333333333333
5.2,2,118,78.6666666666667,1.33333333333333
5.3,2,120,80,1.33333333333333
5.4,2,122,81.3333333333333,1.33333333333333
5.5,3,125,83.3333333333333,2
5.6,6,131,87.3333333333333,4
5.7,3,134,89.3333333333333,2
5.8,3,137,91.3333333333333,2
5.9,2,139,92.6666666666667,1.33333333333333
6,2,141,94,1.33333333333333
6.1,3,144,96,2
6.3,1,145,96.6666666666667,0.666666666666667
6.4,1,146,97.3333333333333,0.666666666666667
6.6,1,147,98,0.666666666666667
6.7,2,149,99.3333333333333,1.33333333333333
6.9,1,150,100,0.666666666666667
