Hodnota,Pocet Vyskytu,Kumulativni cetnost,Kumulativni relativni cetnost,Relativni cetnost
0.1,6,6,4,4
0.2,28,34,22.6666666666667,18.6666666666667
0.3,7,41,27.3333333333333,4.66666666666667
0.4,7,48,32,4.66666666666667
0.5,1,49,32.6666666666667,0.666666666666667
0.6,1,50,33.3333333333333,0.666666666666667
1,7,57,38,4.66666666666667
1.1,3,60,40,2
1.2,5,65,43.3333333333333,3.33333333333333
1.3,13,78,52,8.66666666666667
1.4,8,86,57.3333333333333,5.33333333333333
1.5,12,98,65.3333333333333,8
1.6,4,102,68,2.66666666666667
1.7,2,104,69.3333333333333,1.33333333333333
1.8,12,116,77.3333333333333,8
1.9,5,121,80.6666666666667,3.33333333333333
2,6,127,84.6666666666667,4
2.1,6,133,88.6666666666667,4
2.2,3,136,90.6666666666667,2
2.3,8,144,96,5.33333333333333
2.4,3,147,98,2
2.5,3,150,100,2
