Hodnota,Pocet Vyskytu,Kumulativni cetnost,Kumulativni relativni cetnost,Relativni cetnost
4.3,1,1,0.666666666666667,0.666666666666667
4.4,3,4,2.66666666666667,2
4.5,1,5,3.33333333333333,0.666666666666667
4.6,4,9,6,2.66666666666667
4.7,2,11,7.33333333333333,1.33333333333333
4.8,5,16,10.6666666666667,3.33333333333333
4.9,6,22,14.6666666666667,4
5,10,32,21.3333333333333,6.66666666666667
5.1,9,41,27.3333333333333,6
5.2,4,45,30,2.66666666666667
5.3,1,46,30.6666666666667,0.666666666666667
5.4,6,52,34.6666666666667,4
5.5,7,59,39.3333333333333,4.66666666666667
5.6,6,65,43.3333333333333,4
5.7,8,73,48.6666666666667,5.33333333333333
5.8,7,80,53.3333333333333,4.66666666666667
5.9,3,83,55.3333333333333,2
6,6,89,59.3333333333333,4
6.1,6,95,63.3333333333333,4
6.2,4,99,66,2.66666666666667
6.3,9,108,72,6
6.4,7,115,76.6666666666667,4.66666666666667
6.5,5,120,80,3.33333333333333
6.6,2,122,81.3333333333333,1.33333333333333
6.7,8,130,86.6666666666667,5.33333333333333
6.8,3,133,88.6666666666667,2
6.9,4,137,91.3333333333333,2.66666666666667
7,1,138,92,0.666666666666667
7.1,1,139,92.6666666666667,0.666666666666667
7.2,3,142,94.6666666666667,2
7.3,1,143,95.3333333333333,0.666666666666667
7.4,1,144,96,0.666666666666667
7.6,1,145,96.6666666666667,0.666666666666667
7.7,4,149,99.3333333333333,2.66666666666667
7.9,1,150,100,0.666666666666667
