Hodnota,Pocet Vyskytu,Kumulativni cetnost,Relativni cetnost,CDF,PDF
4.3,1,1,0.666666666666667,0.666666666666667,0.0702442356045739
4.4,3,4,2.66666666666667,2,0.0873359891595989
4.5,1,5,3.33333333333333,0.666666666666667,0.107014380772225
4.6,4,9,6,2.66666666666667,0.129228227985646
4.7,2,11,7.33333333333333,1.33333333333333,0.153793854783219
4.8,5,16,10.6666666666667,3.33333333333333,0.180379393658945
4.9,6,22,14.6666666666667,4,0.208497671855131
5,10,32,21.3333333333333,6.66666666666667,0.237509969543486
5.1,9,41,27.3333333333333,6,0.266642163814216
5.2,4,45,30,2.66666666666667,0.295013678600322
5.3,1,46,30.6666666666667,0.666666666666667,0.321678346565944
5.4,6,52,34.6666666666667,4,0.34567490298293
5.5,7,59,39.3333333333333,4.66666666666667,0.366083553466721
5.6,6,65,43.3333333333333,4,0.382084072419351
5.7,8,73,48.6666666666667,5.33333333333333,0.393010358043755
5.8,7,80,53.3333333333333,4.66666666666667,0.398396400720503
5.9,3,83,55.3333333333333,2,0.398009247387863
6,6,89,59.3333333333333,4,0.391865713241434
6.1,6,95,63.3333333333333,4,0.380231170386863
6.2,4,99,66,2.66666666666667,0.363600535027474
6.3,9,108,72,6,0.342663351102565
6.4,7,115,76.6666666666667,4.66666666666667,0.318256402205488
6.5,5,120,80,3.33333333333333,0.291308385962023
6.6,2,122,81.3333333333333,1.33333333333333,0.262781732704867
6.7,8,130,86.6666666666667,5.33333333333333,0.233616602581721
6.8,3,133,88.6666666666667,2,0.204681496058711
6.9,4,137,91.3333333333333,2.66666666666667,0.176733878535449
7,1,138,92,0.666666666666667,0.150392916373464
7.1,1,139,92.6666666666667,0.666666666666667,0.126125035285741
7.2,3,142,94.6666666666667,2,0.104241719671754
7.3,1,143,95.3333333333333,0.666666666666667,0.0849079158446936
7.4,1,144,96,0.666666666666667,0.0681586753174346
7.6,1,145,96.6666666666667,0.666666666666667,0.0420403286858726
7.7,4,149,99.3333333333333,2.66666666666667,0.0323026464448092
7.9,1,150,100,0.666666666666667,0.0182549709953343
